plant,usage,pkmt,model,od,optn,spd_spec,assy,component,cmp_description,brg_spec,ea,ay,dia_of_ball,num_of_ball,contact_angle,pcd
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1842,1,MB0001,DBC 110S, MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1842,1,MB0001,DBC 110S, MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1842,1,MB0001,DBC 110S, MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1842,1,MB0001,DBC 110S, MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1842,1,MB0001,DBC 110S, MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1842,1,MB0001,DBC 110S, MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1840,E,MB0001,DBC 110S,MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0640',620203-28811,MB1110V0640;SPD_22F3K_DIN50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1840,E,MB0001,DBC 110S,MB1110 = 'V0650',620203-38777,MB1110V0650;SPD_22F3K_DIN50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_DIN50_ABS_TSC,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,EA,17.462,30,15,199.924
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,EA,17.462,27,15,189.924
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,140101-00271,"BEARING,RADIAL BALL","#6009,P5",2,EA,,,,
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,140101-00472,"BEARING,RADIAL BALL",6016P5,2,EA,,,,
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,EA,,,,
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,1,EA,,,,
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,R10840,"BEARING,BALL;ANGULAR CONTACT",7210CDB/GNP5,1,EA,,,,
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,R10845,"BEARING,BALL;ANGULAR CONTACT",7016UCDB/GLP4,2,EA,13.49375,21,15,102.52
1842,1,MB0002,DBC 110 II,MB1110 = 'V1320',620203-20989,MB1110V1320;SPD_22F4K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F4K_BTCT50_ABS,R10884,"BEARING,BALL;ANGULAR CONTACT",7016ACD/P4AQGA,1,EA,14.288,20,25,102.535
